,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,1
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,1
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,0
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,2
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,0
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,0
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,5
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,1
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,1
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,1
55,1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,C,Southampton,yes,True,0
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,1
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,0
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,0
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,5
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,1
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,0
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,1
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,1
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,0
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,1
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,0
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,1
128,1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,2
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,2
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,1
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,0
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,2
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,1
166,1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,1
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,0
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,0
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,0
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,3
185,0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,A,Southampton,no,True,0
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,2
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,0
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,0
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,1
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,0
